samp	P1-S10	P1-S11	P1-S12	P1-S13	P1-S14	P1-S15	P1-S1	P1-S2	P1-S3	P1-S4	P1-S5	P1-S6	P1-S7	P1-S8	P1-S9	P3-S1	P3-S2	P3-S3	P3-S4	P3-S5	P3-S6	P3-S8	P3-S9	P3-S10	P3-S11	P3-S12	P3-S13	P3-S14	P3-S15	P3-S16	P3-S7	P4-S1	P4-S2	P4-S3	P4-S4	P4-S5	P4-S6	P4-S7	P4-S8	P4-S9	P4-S10	P5-S1	P5-S2	P5-S3	P5-S4	P5-S5	P5-S6	P5-S7	P6-S1	P6-S2	P6-S3	P6-S4	P6-S5	P6-S6	P7-S1	P7-S2	P7-S3	P7-S4	P7-S5	P7-S6
P4-S7	14196/10892	14196/10892	14266/10822	14195/10893	14195/10893	14195/10893	14240/10848	14196/10892	14195/10893	14196/10892	14196/10892	14196/10892	14196/10892	14195/10893	14196/10892	14663/10425	14663/10425	14663/10425	14665/10423	14660/10428	14012/11076	14011/11077	14011/11077	14011/11077	14010/11078	14011/11077	14010/11078	14011/11077	14012/11076	14012/11076	13944/11144	55/25033	55/25033	34/25054	55/25033	309/24779	36/25052	0/25088	10/25078	34/25054	9/25079	14165/10923	14165/10923	14164/10924	14164/10924	14165/10923	14165/10923	14165/10923	14716/10372	14716/10372	14716/10372	14716/10372	14716/10372	14716/10372	14309/10779	14309/10779	14310/10778	14309/10779	14309/10779	14309/10779
P4-S8	14204/10893	14204/10893	14274/10823	14203/10894	14203/10894	14203/10894	14248/10849	14204/10893	14203/10894	14204/10893	14204/10893	14204/10893	14204/10893	14203/10894	14204/10893	14672/10425	14672/10425	14672/10425	14674/10423	14669/10428	14021/11076	14020/11077	14020/11077	14020/11077	14019/11078	14020/11077	14019/11078	14020/11077	14021/11076	14021/11076	13952/11145	63/25034	63/25034	43/25054	62/25035	317/24780	44/25053	19/25078	0/25097	42/25055	18/25079	14173/10924	14173/10924	14172/10925	14172/10925	14173/10924	14173/10924	14173/10924	14724/10373	14724/10373	14724/10373	14724/10373	14724/10373	14724/10373	14317/10780	14317/10780	14318/10779	14317/10780	14317/10780	14317/10780
P4-S9	14184/10892	14184/10892	14254/10822	14183/10893	14183/10893	14183/10893	14228/10848	14184/10892	14183/10893	14184/10892	14184/10892	14184/10892	14184/10892	14183/10893	14184/10892	14651/10425	14651/10425	14651/10425	14653/10423	14648/10428	14001/11075	14000/11076	14000/11076	14000/11076	13999/11077	14000/11076	13999/11077	14000/11076	14001/11075	14001/11075	13931/11145	42/25034	42/25034	22/25054	42/25034	296/24780	23/25053	22/25054	21/25055	0/25076	21/25055	14152/10924	14152/10924	14151/10925	14151/10925	14152/10924	14152/10924	14152/10924	14704/10372	14704/10372	14704/10372	14704/10372	14704/10372	14704/10372	14296/10780	14296/10780	14297/10779	14296/10780	14296/10780	14296/10780
P4-S10	14222/10893	14222/10893	14292/10823	14221/10894	14221/10894	14221/10894	14266/10849	14222/10893	14221/10894	14222/10893	14222/10893	14222/10893	14222/10893	14221/10894	14222/10893	14690/10425	14690/10425	14690/10425	14692/10423	14687/10428	14039/11076	14038/11077	14038/11077	14038/11077	14037/11078	14038/11077	14037/11078	14038/11077	14039/11076	14039/11076	13970/11145	81/25034	81/25034	60/25055	81/25034	335/24780	62/25053	36/25079	36/25079	60/25055	0/25115	14191/10924	14191/10924	14190/10925	14190/10925	14191/10924	14191/10924	14191/10924	14743/10372	14743/10372	14743/10372	14743/10372	14743/10372	14743/10372	14335/10780	14335/10780	14336/10779	14335/10780	14335/10780	14335/10780
P5-S1	10320/10893	10321/10892	10386/10827	10320/10893	10319/10894	10318/10895	10371/10842	10322/10891	10319/10894	10321/10892	10321/10892	10322/10891	10320/10893	10320/10893	10321/10892	10682/10531	10681/10532	10682/10531	10683/10530	10681/10532	10943/10270	10943/10270	10942/10271	10943/10270	10942/10271	10943/10270	10943/10270	10943/10270	10943/10270	10943/10270	10865/10348	10289/10924	10289/10924	10289/10924	10289/10924	10517/10696	10289/10924	10290/10923	10289/10924	10289/10924	10289/10924	0/21213	1/21212	5/21208	5/21208	5/21208	5/21208	5/21208	10650/10563	10650/10563	10650/10563	10650/10563	10650/10563	10650/10563	10080/11133	10080/11133	10082/11131	10080/11133	10080/11133	10080/11133
P5-S2	10319/10893	10320/10892	10385/10827	10319/10893	10318/10894	10317/10895	10370/10842	10321/10891	10318/10894	10320/10892	10320/10892	10321/10891	10319/10893	10319/10893	10320/10892	10681/10531	10680/10532	10681/10531	10682/10530	10680/10532	10942/10270	10942/10270	10941/10271	10942/10270	10941/10271	10942/10270	10942/10270	10942/10270	10942/10270	10942/10270	10864/10348	10288/10924	10288/10924	10288/10924	10288/10924	10516/10696	10288/10924	10289/10923	10288/10924	10288/10924	10288/10924	0/21212	0/21212	4/21208	4/21208	4/21208	4/21208	4/21208	10649/10563	10649/10563	10649/10563	10649/10563	10649/10563	10649/10563	10079/11133	10079/11133	10081/11131	10079/11133	10079/11133	10079/11133
P5-S3	10328/10893	10329/10892	10394/10827	10329/10892	10327/10894	10327/10894	10379/10842	10330/10891	10327/10894	10329/10892	10329/10892	10330/10891	10328/10893	10328/10893	10329/10892	10690/10531	10690/10531	10690/10531	10691/10530	10689/10532	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10870/10351	10296/10925	10296/10925	10296/10925	10296/10925	10524/10697	10296/10925	10297/10924	10296/10925	10296/10925	10296/10925	13/21208	13/21208	0/21221	0/21221	3/21218	3/21218	3/21218	10657/10564	10657/10564	10657/10564	10657/10564	10657/10564	10657/10564	10088/11133	10088/11133	10090/11131	10088/11133	10088/11133	10088/11133
P5-S4	10328/10893	10329/10892	10394/10827	10329/10892	10327/10894	10327/10894	10379/10842	10330/10891	10327/10894	10329/10892	10329/10892	10330/10891	10328/10893	10328/10893	10329/10892	10690/10531	10690/10531	10690/10531	10691/10530	10689/10532	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10947/10274	10870/10351	10296/10925	10296/10925	10296/10925	10296/10925	10524/10697	10296/10925	10297/10924	10296/10925	10296/10925	10296/10925	13/21208	13/21208	0/21221	0/21221	3/21218	3/21218	3/21218	10657/10564	10657/10564	10657/10564	10657/10564	10657/10564	10657/10564	10088/11133	10088/11133	10090/11131	10088/11133	10088/11133	10088/11133
P5-S5	10334/10893	10335/10892	10400/10827	10334/10893	10333/10894	10332/10895	10385/10842	10336/10891	10333/10894	10335/10892	10335/10892	10336/10891	10334/10893	10334/10893	10335/10892	10696/10531	10695/10532	10696/10531	10697/10530	10695/10532	10953/10274	10953/10274	10952/10275	10953/10274	10952/10275	10953/10274	10953/10274	10953/10274	10953/10274	10953/10274	10876/10351	10303/10924	10303/10924	10303/10924	10303/10924	10531/10696	10303/10924	10304/10923	10303/10924	10303/10924	10303/10924	19/21208	19/21208	9/21218	9/21218	0/21227	0/21227	4/21223	10663/10564	10663/10564	10663/10564	10663/10564	10663/10564	10663/10564	10094/11133	10094/11133	10096/11131	10094/11133	10094/11133	10094/11133
P5-S6	10334/10893	10335/10892	10400/10827	10334/10893	10333/10894	10332/10895	10385/10842	10336/10891	10333/10894	10335/10892	10335/10892	10336/10891	10334/10893	10334/10893	10335/10892	10696/10531	10695/10532	10696/10531	10697/10530	10695/10532	10953/10274	10953/10274	10952/10275	10953/10274	10952/10275	10953/10274	10953/10274	10953/10274	10953/10274	10953/10274	10876/10351	10303/10924	10303/10924	10303/10924	10303/10924	10531/10696	10303/10924	10304/10923	10303/10924	10303/10924	10303/10924	19/21208	19/21208	9/21218	9/21218	0/21227	0/21227	4/21223	10663/10564	10663/10564	10663/10564	10663/10564	10663/10564	10663/10564	10094/11133	10094/11133	10096/11131	10094/11133	10094/11133	10094/11133
P5-S7	10333/10893	10334/10892	10399/10827	10333/10893	10332/10894	10331/10895	10384/10842	10335/10891	10332/10894	10334/10892	10334/10892	10335/10891	10333/10893	10333/10893	10334/10892	10695/10531	10694/10532	10695/10531	10696/10530	10694/10532	10952/10274	10952/10274	10951/10275	10952/10274	10951/10275	10952/10274	10952/10274	10952/10274	10952/10274	10952/10274	10875/10351	10302/10924	10302/10924	10302/10924	10302/10924	10530/10696	10302/10924	10303/10923	10302/10924	10302/10924	10302/10924	18/21208	18/21208	8/21218	8/21218	3/21223	3/21223	0/21226	10662/10564	10662/10564	10662/10564	10662/10564	10662/10564	10662/10564	10093/11133	10093/11133	10095/11131	10093/11133	10093/11133	10093/11133
P6-S1	10338/10649	10339/10648	10411/10576	10340/10647	10338/10649	10338/10649	10385/10602	10340/10647	10338/10649	10339/10648	10339/10648	10341/10646	10338/10649	10339/10648	10340/10647	10452/10535	10452/10535	10452/10535	10451/10536	10451/10536	10670/10317	10669/10318	10669/10318	10669/10318	10669/10318	10670/10317	10669/10318	10670/10317	10670/10317	10670/10317	10307/10680	10615/10372	10615/10372	10615/10372	10614/10373	10795/10192	10615/10372	10615/10372	10614/10373	10615/10372	10615/10372	10424/10563	10424/10563	10423/10564	10423/10564	10423/10564	10423/10564	10423/10564	0/20987	6/20981	5/20982	5/20982	5/20982	6/20981	10280/10707	10280/10707	10282/10705	10280/10707	10280/10707	10280/10707
P6-S2	10338/10649	10339/10648	10411/10576	10340/10647	10338/10649	10338/10649	10385/10602	10340/10647	10338/10649	10339/10648	10339/10648	10341/10646	10338/10649	10339/10648	10340/10647	10452/10535	10452/10535	10452/10535	10451/10536	10451/10536	10670/10317	10669/10318	10669/10318	10669/10318	10669/10318	10670/10317	10669/10318	10670/10317	10670/10317	10670/10317	10307/10680	10615/10372	10615/10372	10615/10372	10614/10373	10795/10192	10615/10372	10615/10372	10614/10373	10615/10372	10615/10372	10424/10563	10424/10563	10423/10564	10423/10564	10423/10564	10423/10564	10423/10564	6/20981	0/20987	0/20987	0/20987	1/20986	1/20986	10280/10707	10280/10707	10282/10705	10280/10707	10280/10707	10280/10707
P6-S3	10340/10649	10341/10648	10413/10576	10342/10647	10340/10649	10340/10649	10387/10602	10342/10647	10340/10649	10341/10648	10341/10648	10343/10646	10340/10649	10341/10648	10342/10647	10454/10535	10454/10535	10454/10535	10453/10536	10453/10536	10672/10317	10671/10318	10671/10318	10671/10318	10671/10318	10672/10317	10671/10318	10672/10317	10672/10317	10672/10317	10309/10680	10617/10372	10617/10372	10617/10372	10616/10373	10797/10192	10617/10372	10617/10372	10616/10373	10617/10372	10617/10372	10426/10563	10426/10563	10425/10564	10425/10564	10425/10564	10425/10564	10425/10564	7/20982	2/20987	0/20989	0/20989	1/20988	2/20987	10282/10707	10282/10707	10284/10705	10282/10707	10282/10707	10282/10707
P6-S4	10340/10649	10341/10648	10413/10576	10342/10647	10340/10649	10340/10649	10387/10602	10342/10647	10340/10649	10341/10648	10341/10648	10343/10646	10340/10649	10341/10648	10342/10647	10454/10535	10454/10535	10454/10535	10453/10536	10453/10536	10672/10317	10671/10318	10671/10318	10671/10318	10671/10318	10672/10317	10671/10318	10672/10317	10672/10317	10672/10317	10309/10680	10617/10372	10617/10372	10617/10372	10616/10373	10797/10192	10617/10372	10617/10372	10616/10373	10617/10372	10617/10372	10426/10563	10426/10563	10425/10564	10425/10564	10425/10564	10425/10564	10425/10564	7/20982	2/20987	0/20989	0/20989	1/20988	2/20987	10282/10707	10282/10707	10284/10705	10282/10707	10282/10707	10282/10707
P6-S5	10340/10649	10341/10648	10413/10576	10342/10647	10340/10649	10340/10649	10387/10602	10342/10647	10340/10649	10341/10648	10341/10648	10343/10646	10340/10649	10341/10648	10342/10647	10454/10535	10454/10535	10454/10535	10453/10536	10453/10536	10672/10317	10671/10318	10671/10318	10671/10318	10671/10318	10672/10317	10671/10318	10672/10317	10672/10317	10672/10317	10309/10680	10617/10372	10617/10372	10617/10372	10616/10373	10797/10192	10617/10372	10617/10372	10616/10373	10617/10372	10617/10372	10426/10563	10426/10563	10425/10564	10425/10564	10425/10564	10425/10564	10425/10564	7/20982	3/20986	1/20988	1/20988	0/20989	2/20987	10282/10707	10282/10707	10284/10705	10282/10707	10282/10707	10282/10707
P6-S6	10338/10649	10339/10648	10411/10576	10340/10647	10338/10649	10338/10649	10385/10602	10340/10647	10338/10649	10339/10648	10339/10648	10341/10646	10338/10649	10339/10648	10340/10647	10452/10535	10452/10535	10452/10535	10451/10536	10451/10536	10670/10317	10669/10318	10669/10318	10669/10318	10669/10318	10670/10317	10669/10318	10670/10317	10670/10317	10670/10317	10307/10680	10615/10372	10615/10372	10615/10372	10614/10373	10795/10192	10615/10372	10615/10372	10614/10373	10615/10372	10615/10372	10424/10563	10424/10563	10423/10564	10423/10564	10423/10564	10423/10564	10423/10564	6/20981	1/20986	0/20987	0/20987	0/20987	0/20987	10280/10707	10280/10707	10282/10705	10280/10707	10280/10707	10280/10707
P7-S1	11209/10742	11210/10741	11282/10669	11210/10741	11208/10743	11208/10743	11247/10704	11211/10740	11208/10743	11210/10741	11210/10741	11211/10740	11209/10742	11209/10742	11210/10741	11129/10822	11128/10823	11129/10822	11129/10822	11125/10826	11287/10664	11286/10665	11286/10665	11286/10665	11286/10665	11287/10664	11286/10665	11287/10664	11287/10664	11287/10664	11213/10738	11171/10780	11171/10780	11171/10780	11171/10780	11328/10623	11171/10780	11172/10779	11171/10780	11171/10780	11171/10780	10818/11133	10818/11133	10818/11133	10818/11133	10818/11133	10818/11133	10818/11133	11244/10707	11244/10707	11244/10707	11244/10707	11244/10707	11244/10707	0/21951	0/21951	4/21947	0/21951	0/21951	0/21951
P7-S2	11211/10742	11212/10741	11284/10669	11212/10741	11210/10743	11210/10743	11249/10704	11213/10740	11210/10743	11212/10741	11212/10741	11213/10740	11211/10742	11211/10742	11212/10741	11131/10822	11130/10823	11131/10822	11131/10822	11127/10826	11289/10664	11288/10665	11288/10665	11288/10665	11288/10665	11289/10664	11288/10665	11289/10664	11289/10664	11289/10664	11215/10738	11173/10780	11173/10780	11173/10780	11173/10780	11330/10623	11173/10780	11174/10779	11173/10780	11173/10780	11173/10780	10820/11133	10820/11133	10820/11133	10820/11133	10820/11133	10820/11133	10820/11133	11246/10707	11246/10707	11246/10707	11246/10707	11246/10707	11246/10707	2/21951	0/21953	6/21947	2/21951	2/21951	0/21953
P7-S3	11207/10740	11208/10739	11280/10667	11207/10740	11206/10741	11206/10741	11245/10702	11208/10739	11206/10741	11207/10740	11208/10739	11208/10739	11207/10740	11207/10740	11208/10739	11126/10821	11125/10822	11126/10821	11126/10821	11122/10825	11284/10663	11283/10664	11283/10664	11283/10664	11283/10664	11284/10663	11283/10664	11284/10663	11284/10663	11284/10663	11209/10738	11168/10779	11168/10779	11168/10779	11168/10779	11325/10622	11168/10779	11169/10778	11168/10779	11168/10779	11168/10779	10816/11131	10816/11131	10816/11131	10816/11131	10816/11131	10816/11131	10816/11131	11242/10705	11242/10705	11242/10705	11242/10705	11242/10705	11242/10705	0/21947	0/21947	0/21947	0/21947	0/21947	0/21947
P7-S4	11210/10742	11211/10741	11283/10669	11211/10741	11209/10743	11209/10743	11248/10704	11212/10740	11209/10743	11211/10741	11211/10741	11212/10740	11210/10742	11210/10742	11211/10741	11130/10822	11129/10823	11130/10822	11130/10822	11126/10826	11288/10664	11287/10665	11287/10665	11287/10665	11287/10665	11288/10664	11287/10665	11288/10664	11288/10664	11288/10664	11214/10738	11172/10780	11172/10780	11172/10780	11172/10780	11329/10623	11172/10780	11173/10779	11172/10780	11172/10780	11172/10780	10819/11133	10819/11133	10819/11133	10819/11133	10819/11133	10819/11133	10819/11133	11245/10707	11245/10707	11245/10707	11245/10707	11245/10707	11245/10707	1/21951	1/21951	5/21947	0/21952	1/21951	1/21951
P7-S5	11209/10742	11210/10741	11282/10669	11210/10741	11208/10743	11208/10743	11247/10704	11211/10740	11208/10743	11210/10741	11210/10741	11211/10740	11209/10742	11209/10742	11210/10741	11129/10822	11128/10823	11129/10822	11129/10822	11125/10826	11287/10664	11286/10665	11286/10665	11286/10665	11286/10665	11287/10664	11286/10665	11287/10664	11287/10664	11287/10664	11213/10738	11171/10780	11171/10780	11171/10780	11171/10780	11328/10623	11171/10780	11172/10779	11171/10780	11171/10780	11171/10780	10818/11133	10818/11133	10818/11133	10818/11133	10818/11133	10818/11133	10818/11133	11244/10707	11244/10707	11244/10707	11244/10707	11244/10707	11244/10707	0/21951	0/21951	4/21947	0/21951	0/21951	0/21951
P7-S6	11214/10742	11215/10741	11287/10669	11215/10741	11213/10743	11213/10743	11252/10704	11216/10740	11213/10743	11215/10741	11215/10741	11216/10740	11214/10742	11214/10742	11215/10741	11134/10822	11133/10823	11134/10822	11134/10822	11130/10826	11291/10665	11290/10666	11290/10666	11290/10666	11290/10666	11291/10665	11290/10666	11291/10665	11291/10665	11291/10665	11217/10739	11176/10780	11176/10780	11176/10780	11176/10780	11333/10623	11176/10780	11177/10779	11176/10780	11176/10780	11176/10780	10823/11133	10823/11133	10823/11133	10823/11133	10823/11133	10823/11133	10823/11133	11249/10707	11249/10707	11249/10707	11249/10707	11249/10707	11249/10707	5/21951	3/21953	9/21947	5/21951	5/21951	0/21956
